time_TC_1,Temp_TC_1,time_TC_2,Temp_TC_2,time_TC_3,Temp_TC_3,time_TC_4,Temp_TC_4,time_TC_5,Temp_TC_5,time_TC_6,Temp_TC_6,time_TC_7,Temp_TC_7,time_TC_8,Temp_TC_8,time_TC_9,Temp_TC_9,time_TC_10,Temp_TC_10,
0.0000E+0,3.0744E+1,0.0000E+0,3.0819E+1,0.0000E+0,3.0787E+1,0.0000E+0,3.0736E+1,0.0000E+0,3.0584E+1,0.0000E+0,3.0656E+1,0.0000E+0,3.0641E+1,0.0000E+0,3.0545E+1,0.0000E+0,3.0540E+1,0.0000E+0,3.0274E+1,
2.0000E-2,3.0780E+1,2.0000E-2,3.0686E+1,2.0000E-2,3.0731E+1,2.0000E-2,3.0729E+1,2.0000E-2,3.0611E+1,2.0000E-2,3.0617E+1,2.0000E-2,3.0690E+1,2.0000E-2,3.0466E+1,2.0000E-2,3.0402E+1,2.0000E-2,3.0160E+1,
4.0000E-2,3.0814E+1,4.0000E-2,3.0743E+1,4.0000E-2,3.0779E+1,4.0000E-2,3.0744E+1,4.0000E-2,3.0531E+1,4.0000E-2,3.0839E+1,4.0000E-2,3.0602E+1,4.0000E-2,3.0567E+1,4.0000E-2,3.0573E+1,4.0000E-2,3.0318E+1,
6.0000E-2,3.0781E+1,6.0000E-2,3.0748E+1,6.0000E-2,3.0805E+1,6.0000E-2,3.0762E+1,6.0000E-2,3.0559E+1,6.0000E-2,3.0657E+1,6.0000E-2,3.0574E+1,6.0000E-2,3.0511E+1,6.0000E-2,3.0387E+1,6.0000E-2,3.0264E+1,
8.0000E-2,3.0863E+1,8.0000E-2,3.0763E+1,8.0000E-2,3.0796E+1,8.0000E-2,3.0796E+1,8.0000E-2,3.0670E+1,8.0000E-2,3.0809E+1,8.0000E-2,3.0762E+1,8.0000E-2,3.0706E+1,8.0000E-2,3.0616E+1,8.0000E-2,3.0334E+1,
1.0000E-1,3.1022E+1,1.0000E-1,3.0786E+1,1.0000E-1,3.0849E+1,1.0000E-1,3.0757E+1,1.0000E-1,3.0714E+1,1.0000E-1,3.0792E+1,1.0000E-1,3.0698E+1,1.0000E-1,3.0674E+1,1.0000E-1,3.0577E+1,1.0000E-1,3.0384E+1,
1.2000E-1,3.0844E+1,1.2000E-1,3.0765E+1,1.2000E-1,3.0646E+1,1.2000E-1,3.0751E+1,1.2000E-1,3.0576E+1,1.2000E-1,3.0718E+1,1.2000E-1,3.0624E+1,1.2000E-1,3.0583E+1,1.2000E-1,3.0470E+1,1.2000E-1,3.0229E+1,
1.4000E-1,3.0756E+1,1.4000E-1,3.0734E+1,1.4000E-1,3.0780E+1,1.4000E-1,3.0678E+1,1.4000E-1,3.0580E+1,1.4000E-1,3.0633E+1,1.4000E-1,3.0642E+1,1.4000E-1,3.0556E+1,1.4000E-1,3.0476E+1,1.4000E-1,3.0242E+1,
1.6000E-1,3.0637E+1,1.6000E-1,3.0645E+1,1.6000E-1,3.0684E+1,1.6000E-1,3.0714E+1,1.6000E-1,3.0656E+1,1.6000E-1,3.0704E+1,1.6000E-1,3.0601E+1,1.6000E-1,3.0598E+1,1.6000E-1,3.0466E+1,1.6000E-1,3.0237E+1,
1.8000E-1,3.0684E+1,1.8000E-1,3.0692E+1,1.8000E-1,3.0652E+1,1.8000E-1,3.0584E+1,1.8000E-1,3.0497E+1,1.8000E-1,3.0590E+1,1.8000E-1,3.0513E+1,1.8000E-1,3.0597E+1,1.8000E-1,3.0389E+1,1.8000E-1,3.0285E+1,
